50 23.9651
60 35.3017
70 45.695
80 54.9501
90 67.8005
100 80.5486
110 89.5287
120 93.3375
130 100.359
140 113.833
150 123.309
160 134.13
170 144.688
180 156.147
190 169.766
200 178.771
210 188.188
220 196.569
230 208.532
240 217.01
250 228.805
260 239.863
270 249.963
280 258.18
290 266.733
300 276.758
310 291.157
320 299.9
330 308.147
340 321.419
350 330.91
360 338.75
370 347.394
380 358.97
390 367.93
400 379.721
410 389.135
420 400.633
430 410.569
440 418.752
450 426.995
460 439
470 449.382
480 457.721
490 469.591
500 481.127
510 488.968
520 503.868
530 513.207
540 519.628
550 531.763
560 543.783
570 552.308
580 560.152
590 573.711
600 585.564
